From,To,Strength
nm3662667,nm1568415,1
nm3662667,nm3421365,1
nm3662667,nm3661490,1
nm1568415,nm3421365,1
nm1568415,nm3661490,1
nm1568415,nm0219967,1
nm1568415,nm1069034,1
nm1568415,nm0348004,1
nm3421365,nm3661490,1
nm0344435,nm0004821,2
nm0344435,nm0262635,2
nm0344435,nm0004695,2
nm0344435,nm2301950,1
nm0344435,nm0001057,1
nm0344435,nm0000347,1
nm0344435,nm0828980,1
nm0344435,nm0006969,1
nm0344435,nm0000982,1
nm0344435,nm0004988,1
nm0344435,nm0001290,1
nm0344435,nm2910141,1
nm0004821,nm0262635,2
nm0004821,nm0004695,2
nm0004821,nm0005458,1
nm0004821,nm1157358,1
nm0004821,nm0000246,1
nm0004821,nm0000182,1
nm0004821,nm0479471,1
nm0004821,nm0206257,1
nm0004821,nm0000560,1
nm0004821,nm0636426,1
nm0004821,nm0001780,1
nm0004821,nm0772704,1
nm0004821,nm0816508,1
nm0004821,nm2628935,1
nm0262635,nm0004695,2
nm0262635,nm0000168,2
nm0262635,nm0005458,1
nm0262635,nm1157358,1
nm0262635,nm0266824,1
nm0262635,nm0267506,1
nm0262635,nm0000602,1
nm0262635,nm0004741,1
nm0262635,nm0000206,1
nm0262635,nm0004778,1
nm0262635,nm0842770,1
nm0262635,nm0331516,1
nm0262635,nm0000375,5
nm0262635,nm0757855,1
nm0262635,nm0185819,1
nm0262635,nm0004754,1
nm0262635,nm0719637,1
nm0262635,nm0117146,1
nm0262635,nm0000438,1
nm0262635,nm0424060,3
nm0262635,nm0614165,1
nm0262635,nm0333410,1
nm0262635,nm0001845,1
nm0262635,nm0491402,1
nm0262635,nm0749263,3
nm0262635,nm0000671,1
nm0262635,nm0604742,1
nm0262635,nm0915989,1
nm0262635,nm1404408,1
nm0262635,nm3500747,1
nm0262635,nm0191633,1
nm0262635,nm0193295,1
nm0262635,nm0126284,1
nm0262635,nm2017943,1
nm0262635,nm1225406,1
nm0262635,nm0068260,1
nm0262635,nm1659221,1
nm0262635,nm0252961,1
nm0262635,nm0310966,1
nm0262635,nm0001100,1
nm0262635,nm1165110,3
nm0262635,nm0818055,1
nm0262635,nm1869101,3
nm0262635,nm1551130,1
nm0262635,nm0812307,1
nm0262635,nm0169806,1
nm0262635,nm2201555,1
nm0262635,nm0000130,1
nm0262635,nm5085683,1
nm0262635,nm0242026,1
nm0262635,nm2538735,1
nm0004695,nm0159789,1
nm0004695,nm0005458,1
nm0004695,nm0654110,1
nm0004695,nm0005024,1
nm0004695,nm0000565,1
nm0004695,nm0004266,1
nm0004695,nm0000246,1
nm0004695,nm0000134,1
nm0004695,nm0000706,1
nm0004695,nm0000112,1
nm0004695,nm0000532,1
nm0004695,nm0001173,1
nm0004695,nm0005433,1
nm0004695,nm0908094,1
nm0004695,nm0004790,1
nm0004695,nm1008709,1
nm0004695,nm0005273,1
nm0004695,nm0503567,1
nm0004695,nm0004937,1
nm0004695,nm0735442,1
nm0004695,nm0330687,1
nm0004695,nm0000620,2
nm0004695,nm0539082,1
nm0004695,nm0000205,1
nm0004695,nm0784884,1
nm0004695,nm0000196,1
nm0004695,nm0000161,1
nm0004695,nm0006969,1
nm0004695,nm0176981,1
nm0004695,nm0283945,1
nm0004695,nm1161069,1
nm0004695,nm0000982,1
nm0004695,nm0001803,2
nm0004695,nm0000210,1
nm0004695,nm0000169,1
nm0004695,nm0000154,1
nm0004695,nm0891786,1
nm0000136,nm0000307,6
nm0000136,nm0001833,1
nm0000136,nm0001808,1
nm0000136,nm0000191,1
nm0000136,nm0004266,2
nm0000136,nm0004851,1
nm0000136,nm0089217,3
nm0000136,nm1200692,1
nm0000136,nm0648249,1
nm0000136,nm0000151,1
nm0000136,nm0001401,1
nm0000136,nm0383603,1
nm0000136,nm0446303,1
nm0000136,nm0000288,1
nm0000136,nm0000569,1
nm0000136,nm0000610,1
nm0000136,nm0001173,1
nm0000136,nm0728346,1
nm0000136,nm1519666,1
nm0000136,nm0461136,2
nm0000136,nm0202603,1
nm0000136,nm0396812,1
nm0000136,nm0000614,1
nm0000136,nm0929489,1
nm0000136,nm0001758,1
nm0000136,nm1113550,1
nm0000136,nm0614165,1
nm0000136,nm0001691,3
nm0000136,nm0001845,1
nm0000136,nm0000201,1
nm0000136,nm3747611,1
nm0000136,nm0574534,1
nm0000136,nm0283945,1
nm0000136,nm0000849,1
nm0000136,nm0356017,1
nm0000136,nm0079273,1
nm0000136,nm0164809,1
