Dataset,Escenario,Metrica,Iteracion,Tiempo_ms,Memoria_Total_Bytes
IMDB,Construccion,N/A,1,119.473,6326568
IMDB,Original,DegreeCentrality,1,0.0568,6592464
IMDB,Original,DegreeCentrality,2,0.0583,6592464
IMDB,Original,DegreeCentrality,3,0.057,6592464
IMDB,Original,DegreeCentrality,4,0.057,6592464
IMDB,Original,DegreeCentrality,5,0.057,6592464
IMDB,Original,DegreeCentrality,6,0.0569,6592464
IMDB,Original,DegreeCentrality,7,0.0569,6592464
IMDB,Original,DegreeCentrality,8,0.0569,6592464
IMDB,Original,DegreeCentrality,9,0.057,6592464
IMDB,Original,DegreeCentrality,10,0.057,6592464
IMDB,Original,ClosenessCentrality,1,16452.4,6991376
IMDB,Original,ClosenessCentrality,2,17979.2,6991376
IMDB,Original,ClosenessCentrality,3,18559.7,6991376
IMDB,Original,ClosenessCentrality,4,17321.4,6991376
IMDB,Original,ClosenessCentrality,5,17693.8,6991376
IMDB,Original,ClosenessCentrality,6,15484.7,6991376
IMDB,Original,ClosenessCentrality,7,16356.2,6991376
IMDB,Original,ClosenessCentrality,8,14316,6991376
IMDB,Original,ClosenessCentrality,9,16266.9,6991376
IMDB,Original,ClosenessCentrality,10,14295.2,6991376
IMDB,Original,PageRank,1,54.4409,6858360
IMDB,Original,PageRank,2,54.1785,6858360
IMDB,Original,PageRank,3,54.4411,6858360
IMDB,Original,PageRank,4,53.9982,6858360
IMDB,Original,PageRank,5,64.0191,6858360
IMDB,Original,PageRank,6,55.9173,6858360
IMDB,Original,PageRank,7,56.8601,6858360
IMDB,Original,PageRank,8,57.2067,6858360
IMDB,Original,PageRank,9,56.3095,6858360
IMDB,Original,PageRank,10,55.5607,6858360
IMDB,Original,EccentricityCentrality,1,16265.3,6991376
IMDB,Original,EccentricityCentrality,2,14634.9,6991376
IMDB,Original,EccentricityCentrality,3,16355.3,6991376
IMDB,Original,EccentricityCentrality,4,14631.2,6991376
IMDB,Original,EccentricityCentrality,5,16319.5,6991376
IMDB,Original,EccentricityCentrality,6,14540.4,6991376
IMDB,Original,EccentricityCentrality,7,16372.5,6991376
IMDB,Original,EccentricityCentrality,8,15094.9,6991376
IMDB,Original,EccentricityCentrality,9,16284.9,6991376
IMDB,Original,EccentricityCentrality,10,14518.6,6991376
IMDB,Original,HarmonicCentrality,1,14120.6,6991376
IMDB,Original,HarmonicCentrality,2,16127.7,6991376
IMDB,Original,HarmonicCentrality,3,14477.2,6991376
IMDB,Original,HarmonicCentrality,4,16071.6,6991376
IMDB,Original,HarmonicCentrality,5,14077.3,6991376
IMDB,Original,HarmonicCentrality,6,16009.6,6991376
IMDB,Original,HarmonicCentrality,7,14494.2,6991376
